DIAGNOSIS,PATHOLOGY GEATURES,Similar Disease 1,Similar Disease 2,Similar Disease 3,Similar Disease 4
Composite Hemangioendothelioma,"Locally aggressive vascular tumor containing admixture of benign, intermediate and malignant components. Dominant element shows features of retiform hemangioendothelioma-infiltrative branching proliferation of slender vascular channels lined by hyperchromatic hobnailed endothelial cells. Surrounding areas may show more solid component like epithelioid hemangioendothelioma or rarely angiosarcoma.",Epithelioid Hemangioendothelioma,Spindle Cell Hemangioma,Angiosarcoma,Retiform Hemangioendothelioma 
Compound Nevus,"Compound melanocytic proliferation, nests in the dermis show good maturation. No atypia in the epidermal or dermal component.",Basal Cell Carcinoma,Solitary Mastocytosis,Spitz Nevus,
Compound Nevus Of Nail,"Compound melanocytic proliferation, often with compressed nests.",Nail Melanoma,Glomus Tumor,Basal Cell Carcinoma Of Nail,
Condyloma Acuminatum,Acanthotic epidermis with overlying compact hyperkeratosis and hypergranulosis. Vacuolated keratinocytes with large grey nuclei. Ki67 positive in scattered keratinocytes in upper one-third of epidermis.,Bowenoid Papulosis,Verrucous Squamous Cell Carcinoma,Pearly Penile Papule,Acrochordon
Confluent And Reticulated Papillomatosis,"Hyperkeratosis, papillated epidermal hyperplasia. Acanthotic downgrowths from base of papillomatosis. Mild basal hyperpigmentation. Mild dilation of vessels in superficial venous plexus. Occasional beading of elastic fibers.",Acanthosis Nigricans,Dowling Dego Disease,Epidermal Nevus,Stucco Keratosis
Congenital Nevus,Compound or predominantly intradermal nevus with dermal nests aggregating or tracking down adnexa.,Compound Nevus,Becker Nevus,Nevoid Melanoma,
Connective Tissue Disease,Vacuolar or lichenoid interface dermatitis. Perivascular and periadnexal lymphocytic infiltrate. Increased dermal mucin.,Pityriasis Lichenoides Et Varioliformis Acuta,Drug Eruption,Arthropod Bite,
Connective Tissue Disease Related Poikiloderma,Vacuolar or lichenoid interface dermatitis. Mild perivascular and periadnexal lymphocytic infiltrate with/without increased dermal mucin.Dermis shows telangiectasias and pigment incontinence.,Dermatomyositis,Mycosis Fungoides,Actinic Keratosis,
Connective Tissue Nevus,Cutaneous hamartoma with increased collagen and variable amount of admixed elastic fibers.,Dermatofibroma,Scar,Pseudoxanthoma Elasticum,Fibrous Hamartoma Of Infancy
Corticosteroid Atrophy,Thinned epidermis with loss of rete ridge pattern. Thinned dermis with telangiectasia.,Acrodermatitis Chronica Atrophicans,Atrophic Actinic Keratosis,Atrophic Lichen Planus,
Coumadin Induced Vasculopathy,Epidermal necrosis and/or dermal necrosis. Thrombi in dermal vessels with little or no inflammation.,Disseminated Intravascular Coagulation,"Cryoglobulinemia, Type 1",Septic Vasculitis,Purpura Fulminans
Cranial Fasciitis,Deep scalp mass in infants. Histology similar to nodular fasciitis.,Nodular Fasciitis,Proliferative Fasciitis,Dermatofibroma,
Crohn's Disease,"Non-caseating tuberculoid granulomas involving deep dermis and subcutaneous fat, sometimes associated with  marked septo-lobular panniculitis and necrosis.",Sarcoidosis,Deep Fungal Infection,Lupus Vulgaris,Atypical Mycobacterial Infection
"Cryoglobulinemia, Type 1",PAS positive glassy material in small dermal vessels with little or no inflammation.,Disseminated Intravascular Coagulation,Cholesterol Embolism,Coumarin Induced Vasculopathy,Atrophie Blanche
Cryptococcus,"Pseudoepitheliomatous hyperplasia with/without ulceration. Suppurative and granulomatous inflammation with round yeasts (2-10 microns), free and within giant cells.",Histoplasma Capsulatum,Blastomycosis,Lobomycosis,Deep Fungal Infection
Cushing Syndrome,Basilar pigmentation with pigment incontinence in dermis.,Nelson Syndrome,Post Inflammatory Pigment Alteration,Addison Disease,Macular Amyloidosis
Cutaneous  Leiomyosarcoma,"Poorly delimited interlacing long fascicles with eosinophilic cytoplasm, cigar shaped nuclei, perinuclear vacuoles. Pleomorphism, anaplasia, mitotic figures common. Areas of necrosis may be present. Prognosis depends on location of lesion with dermal lesions doing better than those involving the subcutis.",Atypical Fibroxanthoma,Spindle Cell Squamous Cell Carcinoma,Spindle Cell Melanoma,Pilar Leiomyoma
Cutaneous Ciliated Cyst,Unilocular or multilocular cyst lined by simple cuboidal-columnar ciliated epithelium. No mucous cells.,Bronchogenic Cyst,Branchial Cleft Cyst,Apocrine Hidrocystoma,Thyroglossal Duct Cyst
Cutaneous Epithelioid Angiomatous Nodule,Overlying epidermal acanthosis. Sheets of large endothelial cells localized to dermis and admixed numerous vascular channels. Scattered nuclei show prominent cytoplasmic vacuoles. Admixed mild to moderate inflammatory infiltrate with hemosiderin deposition.  Overlaps with ALHE.,Epithelioid Angiosarcoma,Epithelioid Histiocytoma,Dermatofibroma,
Cutaneous Focal Mucinosis,"Localized increase in dermal mucin, often surrounded by epidermal collarette. Mild fibroblastic proliferation.",Gout,Triamcinolone,Lupus Erythematosus,Superficial Angiomyxoma
Cutaneous Involvement In Hodgkin's Disease,"Grenz zone often. Polymorphous nodular or diffuse infiltrate in dermis. Admixed large atypical cells (CD15, CD30+). Characteristic Reed-Sternberg cells -large binucleated cells with prominent nucleoli surrounded by halo).",Lymphomatoid Papulosis,Leukemia Cutis,Primary Cutaneous Anaplastic Large Cell Lymphoma,Lymphomatoid Granulomatosis
Cutaneous Keratocyst,Cyst with corrugated lining of several layers of squamous epithelium; granular layer is absent. No sebaceous structures in wall. Resemble keratocyst of jaw.,Epidermal Inclusion Cyst,Dermoid Cyst,Steatocystoma,
Cutaneous Larva Migrans,"Spongiosis with overlying scale crust. Perivascular inflammation with many eosinophils. Sometimes larva seen (upto 1 cm) in deep dermis, more often cavities left by organism are seen in the epidermis.",Allergic Contact Dermatitis,Subacute-Chronic Eczematous Dermatitis,Arthropod Bite,
Cutaneous Oxalosis,Birefringent rhomboid yellow-brown crystals in walls of vessels. Associated foreign body response may be noted.,Calciphylaxis,Gout,Cholesterol Embolism,
Cutaneous Tuberculosis,"Tuberculoid granulomas with caseation in dermis. AFB bacilli easily seen, especially in early lesions.",Sarcoidosis,Crohn's Disease,Atypical Mycobacterial Infection,Deep Fungal Infection
Cutaneous Tuberculosis,"Tuberculoid granulomas with caseation in dermis. AFB bacilli easily seen, especially in early lesions.",Sarcoidosis,Crohn's Disease,Atypical Mycobacterial Infection,Deep Fungal Infection
Cysticercosis,Larva surrounded by cystic cavity and fibrosis in dermis and subcutaneous fat. Scolex with hooklets and two pairs of sucker cups must be seen. Surrounding mild inflammation.,Dirofilaria,Wucheria Bancrofti,Tungiasis,
Cytomegalovirus,Background of neutrophilic inflammation in dermis. Endothelial cells appear prominent with cytoplasmic and nuclear owl-eye inclusions.,Toxoplasmosis,Infectious Mononucleosis,Tularemia,Drug Eruption
Cytophagic Histiocytic Panniculitis,"Lobular panniculitis. Predominance of lymphocytes with admixed macrophages, neutrophils and plasma cells. Cytophagocytosis-macrophages engulfing erythrocytes, lymphocytes and karyorrhectic debris (bean bag cells). Associated atypical lymphocytic infiltrate may be present in lymphoproliferative disorder.","Subcutaneous Panniculitis-Like T Cell Lymphoma, Alpha-beta Type","Subcutaneous Panniculitis-Like T Cell Lymphoma, Gamma-delta Type",Lupus Profundus,Infective Panniculitis
Dark Grain Eumycetoma,"Neutrophilic abscess in dermis around grains, surrounded by  lymphohistocytic and granulomatous inflammation. Grains are composed of broad, 2-5 microns thick, septate hyphae, which frequently form chlamydospores at the periphery of the grain. They stain with PAS Giemsa and GMS stains.",Botryomycosis,Eumycetoma,Actinomycosis,
Deep Fungal Infection,"Granulomatous and suppurative inflammation, often with overlying pseudoepitheliomatous hyperplasia. Fungal elements highlighted by PAS and GMS stains within the infiltrate.",Atypical Mycobacterial Infection,Cellulitis,Crohn's Disease,Wegener's Granulomatosis
Deep Granuloma Annulare,Palisaded granulomas in deep dermis and subcutaneous tissue around necrobiotic areas with increased mucin . Admixed eosinophils may be seen.,Rheumatoid Nodule,Necrobiosis Lipoidica Diabeticorum,Palisaded And Neutrophilic Granulomatous Dermatitis,
Deep Morphea,Hyalinization of dermis. Thick sclerotic collagen bundles in deep dermis and subcutaneous fat fascia and septa. Lipomembranous changes. Mixed inflammatory infiltrate with giant cells and occasional increased eosinophils.,Eosinophilic Fasciitis,Scleroderma,Nephrogenic Systemic Fibrosis,
Deep Penetrating Nevus,"Symmetrical, compound melanocytic proliferation, extending to lower reticular dermis and/or subcutaneous fat usually in a wedge-shaped pattern. Nuclei small with hyperchromasia, dispersed chromatin pattern and inconspicuous nucleoli. Surrounded by melanophages.  Tracks down adventitia of eccrine coils/follicles and neurovascular bundles. ",Cellular Blue Nevus,Intradermal Nevus,Desmoplastic Nevus,
Demodex Folliculitis,Spongiotic infundibulofolliculitis. Demodex mite within follicles.,Pityrosporum Folliculitis,Suppurative Folliculitis,Fungal Folliculitis,
Dermatofibroma With Monster Cells,"Dermatofibroma with scattered large bizarre cells with abundant foamy cytoplasm, multinucleation with hyperchromatic nuclei.",Proliferative Fasciitis,Pleomorphic Lipoma,Pleomorphic Fibroma,Atypical Fibroxanthoma
Dermatomyositis Related Panniculitis,Lobular panniculitis with lymphoplasmacytic cells. Lipomembranous changes may be seen with calcification. Vacuolar changes at DEJ with mild perivascular  lymphocytic infiltrate in dermis.,Lupus Profundus,Morphea Profundus,Infective Panniculitis,
Desmoplastic Melanoma,"Subtle proliferation of spindle cells in dermis with scattered atypical cells. Spindle cells may form fascicles in a fibrotic stroma(resembling scar). Focal host response of lymphocytes and/or plasma cells is frequently present. Perineural invasion often seen. Epidermis typically shows an atypical lentiginous melanocytic proliferation in greater than 50% of cases. Spindled cells positive for S100, do not typically stain with other markers. Ki-67 shows greater than 5% proliferation index.",Spindle Cell Melanoma,Atypical Fibroxanthoma,Scar,Malignant Peripheral Nerve Sheath Tumor
Desmoplastic Nevus,Banal intradermal nevus in extensive desmoplastic stroma.,Desmoplastic Melanoma,Intradermal Nevus,Dermatofibroma,Combined Nevus
Desmoplastic Spitz Nevus,Epithelioid cells in dermis both singly and as nests surrounded by hyalinized stroma. Junctional component usually lacking/minimal.  Matures and disperses well.,Epithelioid Cell Histiocytoma,Desmoplastic Nevus,Reticulohistiocytoma,Cellular Blue Nevus
Diffuse Dermal Angiomatosis,Interstitial proliferation of  compressed thin vessels in reticular dermis. Mildly increased dermal cellularity with increase  small interstitial spindled cells. Vessels lined by plump endothelial cells and occasionally show congestion.,Stasis Dermatitis,Kaposi Sarcoma,Lipodermatosclerosis,
"Diffuse Large B Cell Lymphoma, Leg Type","Grenz zone. Diffuse dermal and /or subcutaneous monomorphous infiltrate. Absent germinal centers. Adnexal structures are usually destroyed. Large cells-centroblasts and immunoblasts with coarsely clumped chromatin. Increased number of mitotic figures common. CD20, CD79a, bcl2, MUM1/RFP, Fox-Pro +. bcl6 +/-, CD10-. ","Diffuse Large B Cell Lymphoma, Not Otherwise Specified","Primary Cutaneous Follicular Center Cell Lymphoma, Diffuse Type",Primary Cutaneous CD4 Positive Small-Medium T-Cell Lymphoma,Primary Cutaneous Anaplastic Large Cell Lymphoma
"Diffuse Large B Cell Lymphoma, Not Otherwise Specified","Diffuse dermal and/or subcutaneous infiltrate of small lymphocytes (T cells) with scattered large cells resembling centroblasts and immunoblasts. No germinal centers. Plasma cells variably present. B cells-CD19, CD20, CD79a, PAX-5 +. CD15, CD30-.bcl2, MUM-1 -.","Diffuse Large B Cell Lymphoma, Leg Type","Primary Cutaneous Follicular Center Cell Lymphoma, Diffuse Type",Primary Cutaneous CD4 Positive Small-Medium T-Cell Lymphoma,Primary Cutaneous Anaplastic Large Cell Lymphoma
Digital Mucous Cyst,Localized deposit of mucin in cystic space. Cyst does not have any specific lining.,Focal Cutaneous Mucinosis,Superficial Angiomyxoma,Metaplastic Synovial Cyst,
Digital Papillary Adenocarcinoma,"Multinodular tubular and papillary lesion with solid and cystic foci. Tubules are back to back, often show two layers of cells. Cystic areas show papillary growth pattern. Nuclear crowding, hyperchromatism, increased atypical mitosis not uncommon. Previously some were called adenomas due to lack of atypia, but now all are classified as adenocarcinomas, as the non-atypical ones have also sometimes metastasized.",Syringoid Eccrine Carcinoma,Tubular Eccrine Adenoma,Hidradenoma Papilliferum,Syringocystadenoma Papilliferum
Dilated Pore Of Winer,Keratin plugged dilated follicular infundibulum with small radiating epithelial projections.,Pilar Sheath Acanthoma,Trichofolliculoma,Perifollicular Fibroma,Fibrofolliculoma
Dirofilariasis,"Granulomatous inflammation with/without neutrophils. Tightly coiled worm with thick muscular layer interrupted by lateral cords, usually in subcutaneous tissue.",Oncocerchiasis,Tungiasis,Sparganum Proliferum,Wucheria Bancrofti
Discoid Lupus Erythematosus,Hyperkeratosis with follicular plugging and epidermal atrophy. Vacuolar interface dermatitis and pigment incontinence. Thickening of basement membrane. Superficial and deep perivascular and periadnexal lymphocytic infiltrate. Increased dermal mucin.,Lichen Planus,Polymorphous Light Eruption,Secondary Syphilis,Drug Eruption
Dissecting Folliculitis,Follicular plugging and neutrophilic abscesses at follicular ostia. Follicular rupture with granulomatous and suppurative inflammation. Sinus tracts lined by stratified squamous epithelium and surrounded by dense dermal fibrosis commonly seen.,Folliculitis Decalvans,Acne Keloidalis Nuchae,Syphilitic Alopecia,
Disseminated Candidosis,"Perivascular infiltrate with/without vasculitis. Pseudo hyphae, hyphae and spores in dermis in close apposition to vessels.",Aspergillus,Histoplasma Capsulatum,Mucor ,Rhizopus
Disseminated Intravascular Coagulation,Epidermis normal or necrotic. Thrombi in dermal vessels with extravasated RBC and sometimes hemorrhage. Little or no inflammation. Dermal necrosis in late stages.,Septic Vasculitis,Purpura Fulminans,Coumarin Induced Vasculopathy,"Cryoglobulinemai, Type 1"
Disseminated Superficial Actinic Porokeratosis,"Cornoid lamella with vertical columns of parakeratosis. Epidermis beneath the cornoid lamella show loss of granular layer and occasional  dyskeratotic cells. Epidermis between cornoid lamella may be atrophic, acanthotic, psoriasiform or verrucous. Superficial perivascular lymphocytic infiltrate.",Actinic Keratosis,Verruca Vulgaris,Porokeratotic Eccrine Ostial And Dermal Duct Nevus,
